10_0	2_0	80.000	520	88	3	8	526	13	517	0.0	880
10_0	2_1	83.673	490	77	2	43	529	29	518	0.0	871
10_0	2_2	82.164	499	84	3	34	529	22	518	0.0	863
10_0	2_3	78.340	494	97	3	28	520	12	496	0.0	820
10_1	2_1	83.463	514	78	4	15	527	10	517	0.0	887
10_1	2_2	80.851	517	86	5	15	527	10	517	0.0	864
10_1	2_0	81.098	492	80	2	32	523	37	515	0.0	847
10_1	2_3	81.988	483	69	1	37	519	32	496	0.0	843
10_2	2_1	84.118	510	74	5	15	523	10	513	0.0	889
10_2	2_2	81.044	517	85	4	15	527	10	517	0.0	871
10_2	2_0	81.098	492	80	2	32	523	37	515	0.0	850
10_2	2_3	82.195	483	68	1	37	519	32	496	0.0	848
10_3	2_1	76.152	499	113	3	5	502	19	512	0.0	809
10_3	2_2	74.653	505	117	3	7	502	10	512	0.0	806
10_3	2_3	77.664	488	106	1	15	499	9	496	0.0	805
10_3	2_0	80.631	444	86	0	56	499	68	511	0.0	784
10_4	2_0	74.885	434	64	4	43	432	36	468	0.0	675
10_4	2_1	73.973	438	67	2	42	432	29	466	0.0	668
10_4	2_2	74.483	435	64	3	44	432	33	466	0.0	659
10_4	2_3	73.632	402	67	1	70	432	52	453	0.0	625
