13_0	5_0	80.695	518	92	4	22	536	17	529	0.0	875
13_0	5_1	78.170	481	101	1	47	527	20	496	0.0	807
13_0	5_2	81.678	453	83	0	90	542	63	515	0.0	804
13_1	5_0	82.937	504	75	3	33	527	28	529	0.0	877
13_1	5_1	78.745	494	91	2	25	518	17	496	0.0	831
13_1	5_2	81.655	447	82	0	81	527	63	509	0.0	802
13_2	5_0	86.534	453	61	0	46	498	80	532	0.0	841
13_2	5_1	83.406	458	75	1	46	502	56	513	0.0	814
13_2	5_2	79.341	455	94	0	47	501	61	515	0.0	775
13_3	5_2	75.276	453	112	0	43	495	63	515	0.0	742
13_3	5_0	77.252	444	101	0	43	486	83	526	0.0	739
13_3	5_1	69.610	487	128	3	11	480	13	496	0.0	712
13_4	5_2	74.614	453	111	1	43	495	63	511	0.0	733
13_4	5_0	77.397	438	99	0	43	480	83	520	0.0	732
13_4	5_1	69.610	487	128	3	11	480	13	496	0.0	713
