14_0	0_2	78.004	541	101	4	1	537	1	527	0.0	857
14_0	0_1	75.706	531	95	3	1	531	2	498	0.0	838
14_0	0_0	73.028	545	113	4	1	533	1	523	0.0	830
14_1	0_1	85.039	508	65	2	1	508	2	498	0.0	899
14_1	0_2	84.547	453	70	0	61	513	74	526	0.0	831
14_1	0_0	74.904	522	118	3	1	509	1	522	0.0	828
14_2	0_1	78.484	488	94	3	24	510	23	500	0.0	808
14_2	0_2	80.973	452	86	0	61	512	74	525	0.0	793
14_2	0_0	78.139	462	101	0	47	508	60	521	0.0	780
14_3	0_0	73.704	521	135	2	1	520	1	520	0.0	801
14_3	0_2	78.475	446	95	1	75	519	74	519	0.0	749
14_3	0_1	73.085	483	121	2	39	520	23	497	0.0	744
