8_0	14_0	79.528	508	94	2	38	543	34	533	0.0	854
8_0	14_1	75.992	504	92	2	38	541	34	508	0.0	829
8_0	14_2	82.000	450	81	0	94	543	61	510	0.0	808
8_0	14_3	70.732	492	140	3	50	539	30	519	0.0	747
8_1	14_1	80.444	496	85	3	29	524	25	508	0.0	858
8_1	14_0	79.800	500	86	2	38	524	34	531	0.0	847
8_1	14_2	81.920	448	81	0	77	524	61	508	0.0	807
8_1	14_3	73.457	486	117	3	37	522	46	519	0.0	758
8_2	14_1	85.808	458	65	0	31	488	51	508	0.0	834
8_2	14_0	86.667	450	60	0	39	488	82	531	0.0	833
8_2	14_2	82.628	449	78	0	40	488	60	508	0.0	792
8_2	14_3	77.130	446	101	1	41	486	75	519	0.0	734
8_3	14_2	77.632	456	100	1	52	505	62	517	0.0	760
8_3	14_0	76.392	449	106	0	47	495	80	528	0.0	742
8_3	14_1	75.054	461	109	1	41	495	45	505	0.0	742
8_3	14_3	71.141	447	128	1	49	495	73	518	0.0	686
8_4	14_1	87.464	343	43	0	1	343	166	508	0.0	653
8_4	14_0	86.880	343	45	0	1	343	189	531	0.0	645
8_4	14_2	84.012	344	55	0	1	344	166	509	0.0	630
8_4	14_3	78.299	341	73	1	1	341	180	519	0.0	572
