8_0	12_0	87.476	511	53	2	45	554	50	550	0.0	916
8_0	12_1	82.486	531	71	4	25	553	28	538	0.0	904
8_0	12_2	85.619	452	65	0	93	544	47	498	0.0	837
8_0	12_3	75.391	447	110	0	95	541	43	489	0.0	733
8_0	12_4	74.554	448	114	0	95	542	43	490	0.0	725
8_1	12_1	90.000	540	51	2	1	537	1	540	0.0	986
8_1	12_0	81.670	551	87	5	1	537	1	551	0.0	896
8_1	12_2	85.268	448	66	0	77	524	48	495	0.0	830
8_1	12_3	74.889	450	113	0	78	527	43	492	0.0	729
8_1	12_4	75.799	438	106	0	78	515	43	480	0.0	721
8_2	12_2	93.709	461	28	1	40	500	47	506	0.0	899
8_2	12_0	87.309	457	53	1	44	500	92	543	0.0	835
8_2	12_1	85.430	453	66	0	36	488	75	527	0.0	829
8_2	12_3	75.210	476	112	2	17	490	20	491	0.0	738
8_2	12_4	75.914	465	106	2	17	479	20	480	0.0	727
8_3	12_3	86.221	479	64	1	32	508	21	499	0.0	866
8_3	12_4	87.391	460	56	1	32	489	21	480	0.0	844
8_3	12_0	77.878	443	98	0	56	498	94	536	0.0	744
8_3	12_1	75.664	452	110	0	47	498	76	527	0.0	738
8_3	12_2	78.027	446	98	0	50	495	47	492	0.0	737
8_4	12_1	96.348	356	13	0	1	356	185	540	0.0	724
8_4	12_0	90.782	358	31	1	1	356	194	551	0.0	694
8_4	12_2	88.047	343	41	0	1	343	153	495	0.0	650
8_4	12_3	77.746	346	77	0	1	346	147	492	0.0	573
8_4	12_4	79.042	334	70	0	1	334	147	480	0.0	566
